case_id,title,category,description,symptoms,target_rule,osi_layer,expected_root_cause,expected_fix,network_topology,raw_configs
CASE-VLAN-001,Inter-VLAN Routing Blocked by Sub-interface Dot1Q Tag Mismatch,VLAN,PC1 in VLAN 10 cannot ping PC2 in VLAN 20 via Router-on-a-Stick R1.,Ping destination host unreachable from 192.168.10.10 to 192.168.20.10.,Missing VLAN / VLAN Mismatch,Layer 2 - Data Link,Router sub-interface GigabitEthernet0/0.20 is configured with encapsulation dot1Q 30 instead of dot1Q 20.,Configure 'encapsulation dot1Q 20' under interface GigabitEthernet0/0.20 on R1.,"{""devices"": [""R1"", ""SW1"", ""PC1"", ""PC2""], ""links"": [{""from"": ""PC1:Fa0"", ""to"": ""SW1:Fa0/1"", ""vlan"": 10}, {""from"": ""PC2:Fa0"", ""to"": ""SW1:Fa0/2"", ""vlan"": 20}, {""from"": ""SW1:Gi0/1"", ""to"": ""R1:Gi0/0"", ""mode"": ""trunk""}], ""clients"": [{""name"": ""PC1"", ""ip"": ""192.168.10.10"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.10.1"", ""vlan"": 10}, {""name"": ""PC2"", ""ip"": ""192.168.20.10"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.20.1"", ""vlan"": 20}]}","{""SW1"": ""vlan 10\n name Sales\nvlan 20\n name Eng\ninterface FastEthernet0/1\n switchport mode access\n switchport access vlan 10\ninterface FastEthernet0/2\n switchport mode access\n switchport access vlan 20\ninterface GigabitEthernet0/1\n switchport mode trunk"", ""R1"": ""interface GigabitEthernet0/0\n no shutdown\ninterface GigabitEthernet0/0.10\n encapsulation dot1Q 10\n ip address 192.168.10.1 255.255.255.0\ninterface GigabitEthernet0/0.20\n encapsulation dot1Q 30\n ip address 192.168.20.1 255.255.255.0""}"
CASE-VLAN-002,Access Port Assigned to Non-Existent VLAN 30 on Switch SW2,VLAN,Finance workstation PC3 connected to Fa0/5 cannot communicate on the local LAN.,Interface status shows down/inactive and frames are dropped at ingress.,Missing VLAN,Layer 2 - Data Link,"Port Fa0/5 is assigned to VLAN 30, but VLAN 30 was never created in the switch VLAN database.",Create 'vlan 30' with name Finance in global configuration on SW2.,"{""devices"": [""SW2"", ""PC3""], ""links"": [{""from"": ""PC3:Fa0"", ""to"": ""SW2:Fa0/5"", ""vlan"": 30}], ""clients"": [{""name"": ""PC3"", ""ip"": ""192.168.30.50"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.30.1"", ""vlan"": 30}]}","{""SW2"": ""vlan 10\n name HR\nvlan 20\n name Sales\ninterface FastEthernet0/5\n switchport mode access\n switchport access vlan 30\n no shutdown""}"
CASE-VLAN-003,Trunk Link Pruning Drops Allowed VLAN 50 Between SW1 and SW2,VLAN,Hosts in VLAN 50 on SW2 cannot reach core servers in VLAN 50 on SW1.,Broadcast and unicast traffic in VLAN 50 drops across switch uplink.,Missing VLAN,Layer 2 - Data Link,"Uplink Gi0/2 has 'switchport trunk allowed vlan 10,20', omitting VLAN 50.",Execute 'switchport trunk allowed vlan add 50' on interface Gi0/2 on SW1 and SW2.,"{""devices"": [""SW1"", ""SW2""], ""links"": [{""from"": ""SW1:Gi0/2"", ""to"": ""SW2:Gi0/2"", ""mode"": ""trunk""}], ""clients"": [{""name"": ""Server1"", ""ip"": ""10.50.0.100"", ""mask"": ""255.255.255.0"", ""gateway"": ""10.50.0.1"", ""vlan"": 50}]}","{""SW1"": ""vlan 10\nvlan 20\nvlan 50\ninterface GigabitEthernet0/2\n switchport mode trunk\n switchport trunk allowed vlan 10,20"", ""SW2"": ""vlan 10\nvlan 20\nvlan 50\ninterface GigabitEthernet0/2\n switchport mode trunk\n switchport trunk allowed vlan 10,20""}"
CASE-VLAN-004,Native VLAN Mismatch on Trunk Link Between SW1 and SW3,VLAN,CDP logs warn about native VLAN mismatch and untagged traffic is leaking between VLAN 1 and VLAN 99.,"CDP native vlan mismatch warning on console, traffic misrouted.",Missing VLAN / VLAN Mismatch,Layer 2 - Data Link,SW1 Gi0/1 configured with native vlan 99 while SW3 Gi0/1 is using default native vlan 1.,Configure 'switchport trunk native vlan 99' on SW3 interface Gi0/1.,"{""devices"": [""SW1"", ""SW3""], ""links"": [{""from"": ""SW1:Gi0/1"", ""to"": ""SW3:Gi0/1"", ""mode"": ""trunk""}]}","{""SW1"": ""interface GigabitEthernet0/1\n switchport mode trunk\n switchport trunk native vlan 99"", ""SW3"": ""interface GigabitEthernet0/1\n switchport mode trunk""}"
CASE-GW-005,Workstation Configured with Inactive Default Gateway IP,Gateway,PC4 on subnet 192.168.1.0/24 cannot access any external network or internet.,"Local pings work within subnet, but pings to 8.8.8.8 fail with Request Timed Out.",Gateway mismatch,Layer 3 - Network,"PC4 has default gateway set to 192.168.1.254, but Router R1 interface is 192.168.1.1.",Set PC4 default gateway to 192.168.1.1.,"{""devices"": [""R1"", ""SW1"", ""PC4""], ""clients"": [{""name"": ""PC4"", ""ip"": ""192.168.1.50"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.1.254"", ""vlan"": 1}]}","{""R1"": ""interface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0\n no shutdown""}"
CASE-GW-006,Router Default Gateway Interface In Administratively Down State,Gateway,Branch office PCs cannot reach HQ because Router R2 LAN interface is disabled.,Default gateway 10.1.1.1 does not respond to ARP requests or ICMP echo.,Interface down,Layer 1 - Physical,Router R2 interface GigabitEthernet0/0 is administratively shutdown.,Execute 'no shutdown' under interface GigabitEthernet0/0 on R2.,"{""devices"": [""R2"", ""PC5""], ""clients"": [{""name"": ""PC5"", ""ip"": ""10.1.1.20"", ""mask"": ""255.255.255.0"", ""gateway"": ""10.1.1.1""}]}","{""R2"": ""interface GigabitEthernet0/0\n ip address 10.1.1.1 255.255.255.0\n shutdown""}"
CASE-GW-007,Default Gateway Subnet Mask Mismatch on LAN Interface,Gateway,Hosts on 172.16.10.0/24 subnet experience intermittent gateway routing drops.,Hosts with IPs > 172.16.10.127 cannot route packets through gateway.,Wrong subnet mask,Layer 3 - Network,Router interface configured with mask 255.255.255.128 (/25) instead of 255.255.255.0 (/24).,Reconfigure 'ip address 172.16.10.1 255.255.255.0' on Router interface Gi0/1.,"{""devices"": [""R3"", ""PC6""], ""clients"": [{""name"": ""PC6"", ""ip"": ""172.16.10.150"", ""mask"": ""255.255.255.0"", ""gateway"": ""172.16.10.1""}]}","{""R3"": ""interface GigabitEthernet0/1\n ip address 172.16.10.1 255.255.255.128\n no shutdown""}"
CASE-GW-008,Duplicate Default Gateway IP Assigned to Backup Device,Gateway,ARP flapping causes widespread intermittent packet loss across all LAN clients.,Duplicate IP address detected syslog message and flapping ARP cache entries.,Duplicate IP,Layer 3 - Network,"Switch SW1 management SVI interface VLAN 1 configured with 192.168.1.1, colliding with Router R1.",Change SW1 interface vlan 1 IP to 192.168.1.2 255.255.255.0.,"{""devices"": [""R1"", ""SW1"", ""PC1""], ""clients"": [{""name"": ""PC1"", ""ip"": ""192.168.1.10"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.1.1""}]}","{""R1"": ""interface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0\n no shutdown"", ""SW1"": ""interface Vlan1\n ip address 192.168.1.1 255.255.255.0\n no shutdown""}"
CASE-DHCP-009,Missing IP Helper-Address on Remote Branch Router,DHCP,Branch clients on VLAN 10 fail to receive automatic IP addresses from centralized HQ DHCP server.,Clients get APIPA 169.254.x.x addresses after DHCP Discover timeout.,Missing route / Gateway mismatch,Layer 3 - Network,Branch router sub-interface Gi0/0.10 lacks 'ip helper-address 10.0.0.50' forwarding DHCP broadcasts.,Add 'ip helper-address 10.0.0.50' under interface GigabitEthernet0/0.10 on Branch Router.,"{""devices"": [""Branch-R1"", ""HQ-DHCP""], ""clients"": [{""name"": ""Branch-PC1"", ""vlan"": 10, ""ip"": ""169.254.10.5"", ""mask"": ""255.255.0.0"", ""gateway"": """"}]}","{""Branch-R1"": ""interface GigabitEthernet0/0.10\n encapsulation dot1Q 10\n ip address 192.168.10.1 255.255.255.0\n no shutdown""}"
CASE-DHCP-010,Cisco IOS DHCP Pool Default-Router Points to Invalid Network,DHCP,DHCP clients obtain IP addresses but cannot route to other subnets.,Client ipconfig shows Default Gateway 192.168.99.1 for client on 192.168.1.0/24 subnet.,Gateway mismatch,Layer 3 - Network,DHCP pool POOL-A has 'default-router 192.168.99.1' instead of 192.168.1.1.,Change 'default-router 192.168.1.1' in ip dhcp pool POOL-A on Router R1.,"{""devices"": [""R1"", ""PC1""], ""clients"": [{""name"": ""PC1"", ""ip"": ""192.168.1.15"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.99.1""}]}","{""R1"": ""ip dhcp pool POOL-A\n network 192.168.1.0 255.255.255.0\n default-router 192.168.99.1\n dns-server 8.8.8.8\ninterface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0""}"
